path,expected,apex_status,apex_location,http_status,http_location,https_status,canonical,og_url,pass,issues
"/seguro-garantia","https://patroseguros.lovable.app/seguro-garantia","200","","301","https://patroseguros.lovable.app/seguro-garantia","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-garantia) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-garantia)"
"/seguro-geada","https://patroseguros.lovable.app/seguro-geada","200","","301","https://patroseguros.lovable.app/seguro-geada","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-geada) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-geada)"
"/seguro-granja","https://patroseguros.lovable.app/seguro-granja","200","","301","https://patroseguros.lovable.app/seguro-granja","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-granja) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-granja)"
"/seguro-hb20-guarulhos","https://patroseguros.lovable.app/seguro-hb20-guarulhos","200","","301","https://patroseguros.lovable.app/seguro-hb20-guarulhos","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-hb20-guarulhos) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-hb20-guarulhos)"
"/seguro-helicopteros","https://patroseguros.lovable.app/seguro-helicopteros","200","","301","https://patroseguros.lovable.app/seguro-helicopteros","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-helicopteros) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-helicopteros)"
"/seguro-hilux-guarulhos","https://patroseguros.lovable.app/seguro-hilux-guarulhos","200","","301","https://patroseguros.lovable.app/seguro-hilux-guarulhos","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-hilux-guarulhos) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-hilux-guarulhos)"
"/seguro-imobiliario","https://patroseguros.lovable.app/seguro-imobiliario","200","","301","https://patroseguros.lovable.app/seguro-imobiliario","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-imobiliario) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-imobiliario)"
"/seguro-jetski","https://patroseguros.lovable.app/seguro-jetski","200","","301","https://patroseguros.lovable.app/seguro-jetski","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-jetski) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-jetski)"
"/seguro-lojas-shopping","https://patroseguros.lovable.app/seguro-lojas-shopping","200","","301","https://patroseguros.lovable.app/seguro-lojas-shopping","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-lojas-shopping) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-lojas-shopping)"
"/seguro-maquinas","https://patroseguros.lovable.app/seguro-maquinas","200","","301","https://patroseguros.lovable.app/seguro-maquinas","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-maquinas) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-maquinas)"
"/seguro-maquinas-agricolas","https://patroseguros.lovable.app/seguro-maquinas-agricolas","200","","301","https://patroseguros.lovable.app/seguro-maquinas-agricolas","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-maquinas-agricolas) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-maquinas-agricolas)"
"/seguro-maquinas-industriais","https://patroseguros.lovable.app/seguro-maquinas-industriais","200","","301","https://patroseguros.lovable.app/seguro-maquinas-industriais","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-maquinas-industriais) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-maquinas-industriais)"
"/seguro-maquinas-linha-amarela","https://patroseguros.lovable.app/seguro-maquinas-linha-amarela","200","","301","https://patroseguros.lovable.app/seguro-maquinas-linha-amarela","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-maquinas-linha-amarela) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-maquinas-linha-amarela)"
"/seguro-mobi-guarulhos","https://patroseguros.lovable.app/seguro-mobi-guarulhos","200","","301","https://patroseguros.lovable.app/seguro-mobi-guarulhos","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-mobi-guarulhos) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-mobi-guarulhos)"
"/seguro-moto","https://patroseguros.lovable.app/seguro-moto","200","","301","https://patroseguros.lovable.app/seguro-moto","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","apex returned 200 (expected 301) | canonical=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-moto) | og:url=https://www.patroseguros.com.br (expected https://patroseguros.lovable.app/seguro-moto)"
